ICNUM	CPNM	DESCRIPTION	IDC	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	PHU	CNOP	LAI_INIT	BIO_INIT	CURYR_INIT
11	WETN	Wetlands-Non-Forested	6	47	0.9	6	0.1	0.2	0.2	0.95	0.7	2.5	2.2	25	12	0.016	0.0022	0.035	0.015	0.0038	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	8.5	660	54	0.05	0.05	49	69	79	84	0	0	0	1500	1	0.1	10	10
12	PAST	Pasture	6	35	0.9	4	0.05	0.05	0.49	0.95	0.99	0.5	2	25	12	0.0234	0.0033	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.9	0.003	0.005	4	0.75	10	660	36	0.05	0.15	49	69	79	84	0	0	0	1500	1	0.1	10	10
13	SPAS	Summer Pasture	6	35	0.9	4	0.05	0.05	0.49	0.95	0.99	0.5	2	25	12	0.0234	0.0033	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.9	0.003	0.005	4	0.75	10	660	36	0.05	0.15	49	69	79	84	0	0	0	1500	1	0.1	10	10
14	WPAS	Winter Pasture	6	30	0.9	4	0.15	0.01	0.5	0.95	0.8	1.5	2	15	0	0.0234	0.0033	0.056	0.021	0.012	0.0099	0.0022	0.0019	0.9	0.003	0.005	4	0.75	8	660	39	0.05	0.15	49	69	79	84	0	0	0	1500	1	0.1	10	10
15	RNGE	Range-Grasses	6	34	0.9	2.5	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.15	49	69	79	84	0	0	0	1500	1	0.1	10	10
16	RNGB	Range-Brush	6	34	0.9	2	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.15	39	61	74	80	0	0	0	1500	1	0.1	10	10
17	SWRN	Southwestern US (Arid) Range	6	34	0.9	1.5	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.15	39	61	74	80	0	0	0	1500	1	0.1	10	10
18	WATR	Water	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	92	92	92	92	0	0	0	1500	1	0.1	10	10
19	CORN	Corn	4	39	0.5	3	0.15	0.05	0.5	0.95	0.7	2.5	2	25	8	0.014	0.0016	0.047	0.0177	0.0138	0.0048	0.0018	0.0014	0.3	0.2	0.007	4	0.75	7.2	660	45	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
20	CSIL	Corn Silage	4	39	0.9	4	0.15	0.05	0.5	0.95	0.7	2.5	2	25	8	0.014	0.0016	0.047	0.0177	0.0138	0.0048	0.0018	0.0014	0.9	0.2	0.007	4	0.75	7.2	660	45	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
21	SCRN	Sweet Corn	4	39	0.5	2.5	0.15	0.05	0.5	0.95	0.5	2.5	2	24	12	0.0214	0.0037	0.047	0.0177	0.0138	0.0048	0.0018	0.0014	0.3	0.2	0.007	4	0.75	7.2	660	45	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
22	EGAM	Eastern Gamagrass	6	21	0.9	2.5	0.05	0.18	0.25	0.9	0.4	1.7	2	25	12	0.016	0.0022	0.02	0.01	0.007	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	58	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
23	GRSG	Grain Sorghum	4	33.5	0.45	3	0.15	0.05	0.5	0.95	0.64	1	2	30	11	0.0199	0.0032	0.044	0.0164	0.0128	0.006	0.0022	0.0018	0.25	0.2	0.005	4	0.75	8.5	660	36	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
24	SGHY	Sorghum Hay	4	33.5	0.9	4	0.15	0.05	0.5	0.95	0.64	1.5	2	30	11	0.0199	0.0032	0.044	0.0164	0.0128	0.006	0.0022	0.0018	0.9	0.2	0.005	4	0.75	8.5	660	36	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
25	JHGR	Johnsongrass	6	35	0.9	2.5	0.15	0.05	0.57	0.95	0.5	1	2	30	11	0.02	0.0028	0.044	0.0164	0.0128	0.006	0.0022	0.0018	0.9	0.2	0.005	4	0.75	8.5	660	36	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
26	SUGC	Sugarcane	6	25	0.5	6	0.15	0.01	0.5	0.95	0.75	3	2	25	11	0	0	0.01	0.004	0.0025	0.0075	0.003	0.0019	0.01	0.001	0.005	4	0.75	10	660	33	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
27	SWHT	Spring Wheat	5	35	0.42	4	0.15	0.05	0.5	0.95	0.6	0.9	2	18	0	0.0234	0.0033	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.2	0.03	0.006	4	0.75	8	660	46	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
28	WWHT	Winter Wheat	5	30	0.4	4	0.05	0.05	0.45	0.95	0.5	0.9	1.3	18	0	0.025	0.0022	0.0663	0.0255	0.0148	0.0053	0.002	0.0012	0.2	0.03	0.006	4	0.75	6	660	39	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
29	DWHT	Durum Wheat	5	30	0.4	4	0.15	0.01	0.5	0.95	0.8	1	2	15	0	0.0263	0.0057	0.06	0.0231	0.013	0.0084	0.0032	0.0019	0.2	0.03	0.006	4	0.75	7	660	45	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
30	RYE	Rye	5	35	0.4	4	0.15	0.01	0.5	0.95	0.8	1	1.8	12.5	0	0.0284	0.0042	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.2	0.03	0.01	4	0.75	7	660	45	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
31	BARL	Spring Barley	5	35	0.54	4	0.15	0.01	0.45	0.95	0.6	1.2	1.3	25	0	0.021	0.0017	0.059	0.0226	0.0131	0.0057	0.0022	0.0013	0.2	0.01	0.008	4	0.75	7	660	45	0.05	0.14	62	73	81	84	0	0	0	1500	1	0.1	10	10
32	OATS	Oats	5	35	0.42	4	0.15	0.02	0.5	0.95	0.8	1.5	2	15	0	0.0316	0.0057	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.175	0.03	0.005	4	0.75	10	660	45	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
33	RICE	Rice	4	22	0.5	5	0.3	0.01	0.7	0.95	0.8	0.8	0.9	25	10	0.0136	0.0013	0.05	0.02	0.01	0.006	0.003	0.0018	0.25	0.03	0.008	4	0.75	5	660	31	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
34	PMIL	Pearl Millet	4	35	0.25	2.5	0.15	0.01	0.5	0.95	0.85	3	2	30	10	0.02	0.0028	0.044	0.03	0.01	0.006	0.0022	0.0012	0.1	0.2	0.014	4	0.75	8	660	40	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
35	TIMO	Timothy	6	35	0.9	4	0.15	0.01	0.5	0.95	0.85	0.8	2	25	8	0.0234	0.0033	0.0314	0.0137	0.0103	0.0038	0.0025	0.0019	0.9	0.003	0.005	4	0.75	8	660	45	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
36	BROS	Smooth Bromegrass	6	35	0.9	5	0.15	0.01	0.5	0.95	0.85	1.2	2	25	8	0.0234	0.0033	0.04	0.024	0.016	0.0028	0.0017	0.0011	0.9	0.003	0.003	4	0.75	8	660	45	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
37	BROM	Meadow Bromegrass	6	35	0.9	3	0.45	0.02	0.8	0.95	0.85	0.8	1.3	25	6	0.0234	0.0033	0.04	0.024	0.016	0.0028	0.0017	0.0011	0.9	0.003	0.005	4	0.75	8	660	45	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
38	FESC	Tall Fescue	6	30	0.9	4	0.15	0.01	0.5	0.95	0.8	1.5	2	15	0	0.0234	0.0033	0.056	0.021	0.012	0.0099	0.0022	0.0019	0.9	0.003	0.005	4	0.75	8	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
39	BLUG	Kentucky Bluegrass	6	18	0.9	2	0.05	0.05	0.3	0.7	0.35	0.2	1.4	25	12	0.016	0.0022	0.02	0.01	0.006	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	31	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
40	BERM	Bermudagrass	6	35	0.9	4	0.05	0.05	0.49	0.95	0.99	0.5	2	25	12	0.0234	0.0033	0.06	0.0231	0.0134	0.0084	0.0032	0.0019	0.9	0.003	0.005	4	0.75	10	660	36	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
41	CWGR	Crested Wheatgrass	6	35	0.9	4	0.35	0.02	0.62	0.95	0.85	0.9	1.3	25	6	0.05	0.004	0.03	0.02	0.012	0.002	0.0015	0.0013	0.9	0.003	0.005	4	0.75	8	660	38	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
42	WWGR	Western Wheatgrass	6	35	0.9	4	0.5	0.02	0.89	0.95	0.85	0.6	1.3	25	6	0.05	0.004	0.03	0.02	0.012	0.002	0.0015	0.0013	0.9	0.003	0.008	4	0.75	8	660	45	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
43	SWGR	Slender Wheatgrass	6	35	0.9	4	0.15	0.01	0.5	0.95	0.85	0.7	2	25	8	0.05	0.004	0.03	0.02	0.012	0.002	0.0015	0.0013	0.9	0.003	0.005	4	0.75	8	660	45	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
44	RYEG	Italian (Annual) Ryegrass	5	30	0.9	4	0.2	0.32	0.45	0.95	0.5	0.8	1.3	18	0	0.022	0.0028	0.066	0.0254	0.0147	0.0105	0.004	0.0024	0.9	0.03	0.005	4	0.75	6	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
45	RYER	Russian Wildrye	6	30	0.9	3	0.35	0.02	0.62	0.95	0.8	1	1.3	15	0	0.023	0.0037	0.0226	0.018	0.014	0.004	0.004	0.0024	0.9	0.03	0.006	4	0.75	8	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
46	RYEA	Altai Wildrye	6	30	0.9	3	0.35	0.02	0.62	0.95	0.8	1.1	1.3	15	0	0.023	0.0037	0.0226	0.018	0.014	0.004	0.004	0.0024	0.9	0.03	0.005	4	0.75	8	660	46	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
47	SIDE	Sideoats Grama	6	11	0.9	1.7	0.05	0.05	0.3	0.7	0.35	0.4	1.4	25	12	0.016	0.0022	0.02	0.01	0.006	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	21	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
48	BBLS	Big Bluestem	6	14	0.9	3	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
49	LBLS	Little Bluestem	6	34	0.9	2.5	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
50	SWCH	Alamo Switchgrass	6	47	0.9	6	0.1	0.2	0.2	0.95	0.7	2.5	2.2	25	12	0.016	0.0022	0.035	0.015	0.0038	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	8.5	660	54	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
51	INDN	Indiangrass	6	34	0.9	3	0.05	0.1	0.25	0.7	0.35	1	2	25	12	0.016	0.0022	0.02	0.012	0.005	0.0014	0.001	0.0007	0.9	0.003	0.005	4	0.75	10	660	39	0.05	0.1	31	59	72	79	0	0	0	1500	1	0.1	10	10
52	ALFA	Alfalfa	3	20	0.9	4	0.15	0.01	0.5	0.95	0.9	0.9	3	20	4	0.025	0.0035	0.0417	0.029	0.02	0.0035	0.0028	0.002	0.9	0.01	0.01	4	0.75	10	660	35	0.05	0.06	31	59	72	79	0	0	0	1500	1	0.1	10	10
53	CLVS	Sweetclover	3	25	0.9	4	0.15	0.01	0.5	0.95	0.75	1.5	2.4	15	1	0.065	0.004	0.065	0.028	0.0243	0.006	0.0024	0.0024	0.9	0.003	0.005	4	0.75	10	660	30	0.05	0.06	31	59	72	79	0	0	0	1500	1	0.1	10	10
54	CLVR	Red Clover	2	25	0.9	4	0.15	0.01	0.5	0.95	0.75	0.75	1.5	15	1	0.065	0.004	0.065	0.028	0.0243	0.006	0.0024	0.0024	0.9	0.003	0.006	4	0.75	10	660	30	0.05	0.06	31	59	72	79	0	0	0	1500	1	0.1	10	10
55	CLVA	Alsike Clover	3	25	0.9	4	0.15	0.01	0.5	0.95	0.75	0.9	2	15	1	0.06	0.004	0.06	0.028	0.024	0.006	0.0025	0.0025	0.9	0.003	0.005	4	0.75	10	660	30	0.05	0.06	31	59	72	79	0	0	0	1500	1	0.1	10	10
56	SOYB	Soybean	1	25	0.31	3	0.15	0.05	0.5	0.95	0.6	0.8	1.7	25	10	0.065	0.0091	0.0524	0.0265	0.0258	0.0074	0.0037	0.0035	0.01	0.2	0.007	4	0.75	8	660	34	0.05	0.14	67	78	85	89	0	0	0	1500	1	0.1	10	10
57	CWPS	Cowpeas	1	35	0.42	4	0.15	0.01	0.5	0.95	0.8	1.2	2	28	14	0.0427	0.0048	0.06	0.0231	0.0134	0.0049	0.0019	0.0011	0.05	0.03	0.005	4	0.75	8	660	39	0.05	0.14	67	78	85	89	0	0	0	1500	1	0.1	10	10
58	MUNG	Mung Beans	1	25	0.31	4	0.15	0.01	0.5	0.95	0.9	1.5	2	30	15	0.042	0.004	0.0524	0.0265	0.0258	0.0074	0.0037	0.0035	0.01	0.2	0.005	4	0.75	10	660	33	0.05	0.14	67	78	85	89	0	0	0	1500	1	0.1	10	10
59	LIMA	Lima Beans	1	25	0.3	2.5	0.1	0.05	0.8	0.95	0.9	0.6	2	26	18	0.0368	0.0046	0.004	0.003	0.0015	0.0035	0.003	0.0015	0.22	0.2	0.005	4	0.75	5	660	34	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
60	LENT	Lentils	1	20	0.61	4	0.15	0.02	0.5	0.95	0.9	0.55	1.2	20	3	0.0506	0.0051	0.044	0.0164	0.0128	0.0074	0.0037	0.0023	0.01	0.2	0.005	4	0.75	10	660	33	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
61	PNUT	Peanut	1	20	0.4	4	0.15	0.01	0.5	0.95	0.75	0.5	2	27	14	0.0505	0.004	0.0524	0.0265	0.0258	0.0074	0.0037	0.0035	0.3	0.2	0.006	4	0.75	4	660	25	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
62	FPEA	Field Peas	2	25	0.45	4	0.15	0.01	0.5	0.95	0.75	1.2	1.2	15	1	0.037	0.0021	0.0515	0.0335	0.0296	0.0033	0.0019	0.0014	0.1	0.01	0.005	4	0.75	10	660	30	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
63	PEAS	Garden or Canning Peas	2	25	0.3	2.5	0.1	0.05	0.8	0.95	0.6	0.6	1.2	14	5	0.041	0.0051	0.004	0.003	0.0015	0.003	0.002	0.0015	0.22	0.2	0.005	4	0.75	5	660	34	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
64	SESB	Sesbania	1	50	0.31	5	0.15	0.01	0.5	0.95	0.9	2	2	25	10	0.065	0.0091	0.05	0.02	0.015	0.0074	0.0037	0.0035	0.01	0.2	0.005	4	0.75	10	660	60	0.05	0.14	67	77	83	87	0	0	0	1500	1	0.1	10	10
65	FLAX	Flax	5	25	0.54	2.5	0.15	0.02	0.5	0.95	0.9	1.2	1.5	22.5	5	0.04	0.0033	0.0482	0.0294	0.0263	0.0049	0.0024	0.0023	0.4	0.2	0.005	4	0.75	10	660	33	0.05	0.14	62	73	81	84	1	0	0	1500	1	0.1	10	10
66	COTS	Upland Cotton-harvested with	4	15	0.5	4	0.15	0.01	0.5	0.95	0.95	1	2.5	30	15	0.014	0.002	0.058	0.0192	0.0177	0.0081	0.0027	0.0025	0.4	0.2	0.009	4	0.75	3	660	19	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
67	COTP	Upland Cotton-harvested with	4	15	0.4	4	0.15	0.01	0.5	0.95	0.95	1	2.5	30	15	0.019	0.0029	0.058	0.0192	0.0177	0.0081	0.0027	0.0025	0.3	0.2	0.009	4	0.75	3	660	19	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
68	TOBC	Tobacco	4	39	0.55	4.5	0.15	0.05	0.5	0.95	0.7	1.8	2	25	10	0.014	0.0016	0.047	0.0177	0.0138	0.0048	0.0018	0.0014	0.55	0.2	0.005	4	0.75	8	660	44	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
69	SGBT	Sugarbeet	4	30	2	5	0.05	0.05	0.5	0.95	0.6	1.2	2	18	4	0.013	0.002	0.055	0.02	0.012	0.006	0.0025	0.0019	1.1	0.2	0.007	4	0.75	10	660	35	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
70	POTA	Potato	5	25	0.95	4	0.15	0.01	0.5	0.95	0.6	0.6	0.6	22	7	0.0246	0.0023	0.055	0.02	0.012	0.006	0.0025	0.0019	0.95	0.2	0.005	4	0.75	14.8	660	30	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
71	SPOT	Sweetpotato	4	15	0.6	4	0.15	0.01	0.5	0.95	0.6	0.8	2	24	14	0.0097	0.001	0.045	0.016	0.009	0.0045	0.0019	0.0015	0.4	0.05	0.006	4	0.75	3	660	19	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
72	CRRT	Carrot	5	30	1.12	3.5	0.15	0.01	0.5	0.95	0.6	0.3	1.2	24	7	0.0135	0.0036	0.055	0.0075	0.0012	0.006	0.003	0.002	0.9	0.2	0.006	4	0.75	10	660	35	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
73	ONIO	Onion	5	30	1.25	1.5	0.15	0.01	0.5	0.95	0.6	0.5	0.6	19	7	0.0206	0.0032	0.04	0.03	0.002	0.0021	0.002	0.0019	0.95	0.2	0.006	4	0.75	10	660	35	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
74	SUNF	Sunflower	4	46	0.3	3	0.15	0.01	0.5	0.95	0.62	2.5	2	25	6	0.0454	0.0074	0.05	0.023	0.0146	0.0063	0.0029	0.0023	0.18	0.2	0.008	4	0.75	32.3	660	59	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
75	CANP	Spring Canola-Polish	4	34	0.23	3.5	0.15	0.02	0.45	0.95	0.5	0.9	0.9	21	5	0.038	0.0079	0.044	0.0164	0.0128	0.0074	0.0037	0.0023	0.01	0.2	0.006	4	0.75	10	660	39	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
76	CANA	Spring Canola-Argentine	4	34	0.3	4.5	0.15	0.02	0.45	0.95	0.5	1.3	1.4	21	5	0.038	0.0079	0.044	0.0164	0.0128	0.0074	0.0037	0.0023	0.01	0.2	0.006	4	0.75	10	660	40	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
77	ASPR	Asparagus	6	90	0.8	4.2	0.25	0.23	0.4	0.86	1	0.5	2	24	10	0.063	0.0067	0.062	0.05	0.04	0.005	0.004	0.002	0.95	0.2	0.006	4	0.75	5	660	95	0.05	0.3	63	74	82	85	1	0	0	1500	1	0.1	10	10
78	BROC	Broccoli	5	26	0.8	4.2	0.25	0.23	0.4	0.86	1	0.5	0.6	18	4	0.0512	0.0071	0.062	0.009	0.007	0.005	0.004	0.003	0.95	0.2	0.006	4	0.75	5	660	30	0.05	0.16	67	77	83	87	1	0	0	1500	1	0.1	10	10
79	CABG	Cabbage	6	19	0.8	3	0.25	0.23	0.4	0.86	1	0.5	0.6	18	1	0.0259	0.0031	0.062	0.007	0.004	0.005	0.0035	0.002	0.95	0.2	0.006	4	0.75	5	660	25	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
80	CAUF	Cauliflower	5	21	0.8	2.5	0.25	0.23	0.4	0.86	1	0.5	0.6	18	5	0.0411	0.0059	0.062	0.007	0.004	0.005	0.0035	0.002	0.95	0.2	0.006	4	0.75	5	660	25	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
81	CELR	Celery	6	27	0.8	2.5	0.25	0.23	0.4	0.86	1	0.5	0.6	22	4	0.0199	0.0049	0.062	0.015	0.01	0.006	0.005	0.003	0.95	0.2	0.006	4	0.75	5	660	30	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
82	LETT	Head Lettuce	5	23	0.8	4.2	0.25	0.23	0.4	0.86	1	0.2	0.6	18	7	0.0393	0.0049	0.036	0.025	0.021	0.0084	0.0032	0.0019	0.01	0.01	0.003	4	0.75	8	660	25	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
83	SPIN	Spinach	5	30	0.95	4.2	0.1	0.05	0.9	0.95	0.95	0.5	0.6	24	4	0.0543	0.0058	0.062	0.04	0.03	0.005	0.004	0.0035	0.95	0.2	0.006	4	0.75	5	660	35	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
84	GRBN	Green Beans	1	25	0.1	1.5	0.1	0.05	0.8	0.95	0.9	0.6	1.2	19	10	0.0299	0.0039	0.004	0.003	0.0015	0.004	0.0035	0.0015	0.1	0.2	0.008	4	0.75	5	660	34	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
85	CUCM	Cucumber	4	30	0.27	1.5	0.15	0.05	0.5	0.95	0.6	0.5	1.2	32	16	0.0219	0.0043	0.0663	0.0075	0.0048	0.0053	0.0025	0.0012	0.25	0.03	0.003	4	0.75	8	660	39	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
86	EGGP	Eggplant	4	30	0.59	3	0.15	0.05	0.5	0.95	0.6	0.5	1.2	26	15	0.0218	0.0041	0.0663	0.0255	0.0075	0.0053	0.002	0.0015	0.25	0.03	0.006	4	0.75	8	660	39	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
87	CANT	Cantaloupe	4	30	0.5	3	0.15	0.05	0.5	0.95	0.6	0.5	1.2	35	15	0.0138	0.0017	0.0663	0.0255	0.0148	0.0053	0.002	0.0012	0.25	0.03	0.006	4	0.75	3	660	39	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
88	HMEL	Honeydew Melon	4	30	0.55	4	0.15	0.05	0.5	0.95	0.6	0.5	1.2	35	16	0.0071	0.001	0.007	0.004	0.002	0.0026	0.002	0.0017	0.25	0.03	0.006	4	0.75	3	660	39	0.05	0.14	67	77	83	87	1	0	0	1500	1	0.1	10	10
